Reported Date,Total Dead and Missing,Location Coordinates
"June 17, 2023",1,"32.7087558, 20.939755"
"June 17, 2023",3,"32.53798293, 20.566321"
"June 18, 2023",1,"30.64288066, 18.342149"
"June 23, 2023",1,"30.26272494, 19.188679"
"June 23, 2023",2,"32.46469887, 20.471156"
"June 20, 2023",3,"35.4930449, 12.593146"
"June 22, 2023",7,"35.0264376, 11.026026"
"June 22, 2023",2,"35.05535521, 11.102511"
"June 22, 2023",6,"35.05535521, 11.102511"
"June 23, 2023",37,"35.44501046, 12.50353"
"June 28, 2023",1,"30.40378902, 19.547904"
"June 15, 2023",1,"25.70237578, -100.330864"
"June 19, 2023",1,"8.456673645, -77.675231"
"June 30, 2023",1,"26.92869453, -101.453883"
"June 23, 2023",1,"28.84532608, -100.537797"
"June 28, 2023",1,"24.6251148, -79.702393"
"June 29, 2023",1,"32.53798293, 20.566321"
"July 01, 2023",1,"30.89983521, 17.804809"
"June 22, 2023",1,"30.97037245, 17.593735"
"July 01, 2023",51,"28.43673317, -11.595432"
"July 02, 2023",1,"28.0303614, -16.574108"
"June 28, 2023",1,"25.89718005, -97.497025"
"June 15, 2023",1,"33.33035383, -111.587676"
"July 02, 2023",1,"24.80536922, -100.32618"
"July 02, 2023",2,"24.80536922, -100.32618"
"June 30, 2023",1,"28.72968321, -100.508078"
"July 01, 2023",1,"28.64319053, -100.605986"
"June 29, 2023",1,"18.94687061, -67.438479"
"July 03, 2023",1,"45.00342182, -74.64071"
"July 01, 2023",2,"28.70759599, -100.511079"
"July 02, 2023",1,"28.70759599, -100.511079"
"July 03, 2023",1,"28.70759599, -100.511079"
"July 03, 2023",1,"29.55381837, -104.395895"
"May 04, 2023",1,"11.720448, 41.838963"
"May 13, 2023",1,"11.791311, 42.879623"
"May 19, 2023",1,"11.791311, 42.879623"
"May 24, 2023",1,"11.976844, 43.283094"
"July 04, 2023",1,"50.69652776, 1.636039"
"July 04, 2023",1,"30.89983521, 17.804809"
"July 06, 2023",5,"32.80783346, 12.478612"
"July 04, 2023",1,"32.66175664, 14.256693"
"July 06, 2023",1,"32.25205827, 20.179816"
"July 09, 2023",1,"32.11376569, 23.960382"
"July 08, 2023",1,"42.54351, 26.515596"
"July 09, 2023",1,"42.48789659, 26.515596"
"July 08, 2023",11,"34.55139555, 11.117615"
"July 11, 2023",1,"41.17178461, 1.485964"
"July 12, 2023",22,"16.02983804, -16.566797"
"July 13, 2023",1,"50.94794355, 13.872468"
"July 13, 2023",13,"34.71726688, 10.799649"
"July 04, 2023",1,"28.73955001, -100.506463"
"July 01, 2023",2,"28.72357924, -100.507413"
"July 09, 2023",1,"28.94272811, -100.644684"
"July 11, 2023",1,"11.08586077, -84.627908"
"July 01, 2023",1,"33.74259175, 7.597796"
"July 10, 2023",1,"33.74259175, 7.597796"
"July 10, 2023",2,"34.512528, 8.106659"
"July 12, 2023",5,"35.44377893, 12.525652"
"July 13, 2023",1,"38.12380094, 15.652101"
"January 05, 2023",1,"24.22092653, 23.291791"
"January 07, 2023",1,"32.029039, 20.016156"
"January 26, 2023",1,"32.09704552, 23.991754"
"February 17, 2023",1,"32.33801861, 15.044267"
"February 17, 2023",1,"24.20637163, 23.290346"
"January 24, 2023",3,"31.04216493, 14.431426"
"February 22, 2023",3,"24.20642056, 23.290271"
